
 记录时间：2015-08-11 20:18:16,170 -描述：00001
 记录时间：2015-08-11 20:18:16,274 -描述：00001
 记录时间：2015-08-11 20:18:16,391 -描述：00001
 记录时间：2015-08-11 20:18:17,702 -描述：00001
 记录时间：2015-08-11 20:18:18,047 -描述：00001
 记录时间：2015-08-11 20:18:18,131 -描述：00001
 记录时间：2015-08-11 20:18:18,245 -描述：00001
 记录时间：2015-08-11 20:18:19,423 -描述：00001
 记录时间：2015-08-11 20:18:28,198 -描述：00105
 记录时间：2015-08-11 20:18:28,203 -描述：00037
 记录时间：2015-08-11 20:18:32,478 -描述：00106
 记录时间：2015-08-11 20:18:33,943 -描述：00105
 记录时间：2015-08-11 20:18:33,953 -描述：00037
 记录时间：2015-08-11 20:18:35,527 -描述：00039
 记录时间：2015-08-11 20:19:12,173 -描述：00001
 记录时间：2015-08-11 20:31:32,841 -描述：00001
 记录时间：2015-08-11 20:31:33,433 -描述：00001
 记录时间：2015-08-11 20:31:33,977 -描述：00001
 记录时间：2015-08-11 20:31:34,716 -描述：00001
 记录时间：2015-08-11 20:31:37,842 -描述：00001
 记录时间：2015-08-11 20:31:38,390 -描述：00001
 记录时间：2015-08-11 20:31:38,947 -描述：00001
 记录时间：2015-08-11 20:31:39,806 -描述：00001
 记录时间：2015-08-11 20:31:41,303 -描述：00061
 记录时间：2015-08-11 20:31:42,528 -描述：00031
 记录时间：2015-08-11 20:31:49,016 -描述：00031
 记录时间：2015-08-11 20:31:49,218 -描述：10002
 记录时间：2015-08-11 20:31:52,198 -描述：00001
 记录时间：2015-08-11 20:31:55,533 -描述：10002
 记录时间：2015-08-11 20:32:07,393 -描述：00031
 记录时间：2015-08-11 20:32:07,595 -描述：10002
 记录时间：2015-08-11 20:32:09,481 -描述：00001
 记录时间：2015-08-11 20:32:16,066 -描述：10002
 记录时间：2015-08-11 20:32:26,086 -描述：10002
 记录时间：2015-08-11 20:32:29,637 -描述：10002
 记录时间：2015-08-11 20:36:28,193 -描述：00150
 记录时间：2015-08-11 20:39:50,320 -描述：00001
 记录时间：2015-08-11 20:39:51,580 -描述：00001
 记录时间：2015-08-11 20:39:51,894 -描述：00001
 记录时间：2015-08-11 20:39:52,198 -描述：00001
 记录时间：2015-08-11 20:39:53,627 -描述：00001
 记录时间：2015-08-11 20:39:54,172 -描述：00001
 记录时间：2015-08-11 20:39:55,833 -描述：00001
 记录时间：2015-08-11 20:39:57,683 -描述：00061
 记录时间：2015-08-11 20:39:59,688 -描述：00031
 记录时间：2015-08-11 20:40:05,378 -描述：00031
 记录时间：2015-08-11 20:40:05,664 -描述：10002
 记录时间：2015-08-11 20:40:08,714 -描述：10002
 记录时间：2015-08-11 20:40:10,808 -描述：10002
 记录时间：2015-08-11 20:40:14,804 -描述：10002
 记录时间：2015-08-11 20:40:20,567 -描述：10002
 记录时间：2015-08-11 20:40:22,852 -描述：00001
 记录时间：2015-08-11 20:40:28,193 -描述：10002
 记录时间：2015-08-11 20:40:37,754 -描述：00107
 记录时间：2015-08-11 20:40:38,558 -描述：00037
 记录时间：2015-08-11 20:40:38,751 -描述：00039
 记录时间：2015-08-11 20:40:39,870 -描述：00108
 记录时间：2015-08-11 20:40:40,032 -描述：00067
 记录时间：2015-08-11 20:40:40,034 -描述：00108
 记录时间：2015-08-11 20:40:40,679 -描述：00107
 记录时间：2015-08-11 20:40:41,352 -描述：00037
 记录时间：2015-08-11 20:40:41,555 -描述：00039
 记录时间：2015-08-11 20:40:42,299 -描述：00108
 记录时间：2015-08-11 20:40:42,490 -描述：00067
 记录时间：2015-08-11 20:40:42,491 -描述：00108
 记录时间：2015-08-11 20:46:36,727 -描述：00001
 记录时间：2015-08-11 20:46:37,163 -描述：00001
 记录时间：2015-08-11 20:46:37,554 -描述：00001
 记录时间：2015-08-11 20:46:38,256 -描述：00061
 记录时间：2015-08-11 20:46:39,316 -描述：00031
 记录时间：2015-08-11 20:46:53,684 -描述：00031
 记录时间：2015-08-11 20:46:53,965 -描述：10002
 记录时间：2015-08-11 20:47:02,810 -描述：10002
 记录时间：2015-08-11 20:47:33,466 -描述：00031
 记录时间：2015-08-11 20:47:33,801 -描述：10002
 记录时间：2015-08-11 20:48:31,263 -描述：00032
 记录时间：2015-08-11 20:52:58,222 -描述：00001
 记录时间：2015-08-11 20:53:02,408 -描述：00001
 记录时间：2015-08-11 20:53:02,857 -描述：00001
 记录时间：2015-08-11 20:53:04,046 -描述：00001
 记录时间：2015-08-11 20:53:04,857 -描述：00061
 记录时间：2015-08-11 20:53:06,174 -描述：00031
 记录时间：2015-08-11 20:53:18,946 -描述：00031
 记录时间：2015-08-11 20:53:19,327 -描述：10002
 记录时间：2015-08-11 20:53:28,183 -描述：00001
 记录时间：2015-08-11 20:53:32,906 -描述：00001
 记录时间：2015-08-11 20:53:33,864 -描述：00001
 记录时间：2015-08-11 20:53:36,765 -描述：00001
 记录时间：2015-08-11 20:53:40,276 -描述：00001
 记录时间：2015-08-11 20:53:52,699 -描述：00001
 记录时间：2015-08-11 20:53:53,920 -描述：00001
 记录时间：2015-08-11 20:53:54,445 -描述：00001
 记录时间：2015-08-11 20:53:55,358 -描述：00001
 记录时间：2015-08-11 20:53:58,371 -描述：00001
 记录时间：2015-08-11 20:53:59,826 -描述：00001
 记录时间：2015-08-11 20:54:03,878 -描述：00001
 记录时间：2015-08-11 20:54:05,303 -描述：00001
 记录时间：2015-08-11 20:54:06,700 -描述：00001
 记录时间：2015-08-11 20:54:12,133 -描述：10002
 记录时间：2015-08-11 20:54:20,760 -描述：00031
 记录时间：2015-08-11 20:54:21,045 -描述：10002
 记录时间：2015-08-11 20:54:29,992 -描述：10002
 记录时间：2015-08-11 20:54:54,642 -描述：00031
 记录时间：2015-08-11 20:58:38,721 -描述：00001
 记录时间：2015-08-11 20:58:39,400 -描述：00001
 记录时间：2015-08-11 20:58:40,320 -描述：00001
 记录时间：2015-08-11 20:58:41,097 -描述：00061
 记录时间：2015-08-11 20:58:42,319 -描述：00031
 记录时间：2015-08-11 20:58:47,182 -描述：00031
 记录时间：2015-08-11 20:59:05,163 -描述：10002
 记录时间：2015-08-11 20:59:10,051 -描述：10002
 记录时间：2015-08-11 20:59:16,920 -描述：00031
 记录时间：2015-08-11 20:59:17,153 -描述：10002
 记录时间：2015-08-11 20:59:23,197 -描述：10002
 记录时间：2015-08-11 21:00:31,284 -描述：00001
 记录时间：2015-08-11 21:00:33,381 -描述：00001
 记录时间：2015-08-11 21:00:34,400 -描述：00001
 记录时间：2015-08-11 21:00:36,018 -描述：00001
 记录时间：2015-08-11 21:00:37,192 -描述：00001
 记录时间：2015-08-11 21:00:38,740 -描述：00001
 记录时间：2015-08-11 21:00:40,413 -描述：00001
 记录时间：2015-08-11 21:01:31,493 -描述：00065
 记录时间：2015-08-11 21:01:34,619 -描述：00065
 记录时间：2015-08-11 21:01:35,580 -描述：00065
 记录时间：2015-08-11 21:01:35,725 -描述：00071
 记录时间：2015-08-11 21:01:37,710 -描述：10003
 记录时间：2015-08-11 21:01:37,714 -描述：00033
 记录时间：2015-08-11 21:01:40,474 -描述：00032
 记录时间：2015-08-11 22:23:51,443 -描述：00001
 记录时间：2015-08-11 22:23:51,826 -描述：00001
 记录时间：2015-08-11 22:24:00,347 -描述：00065
 记录时间：2015-08-11 22:24:01,091 -描述：00065
 记录时间：2015-08-11 22:24:01,832 -描述：00065
 记录时间：2015-08-11 22:24:02,036 -描述：00071
 记录时间：2015-08-11 22:24:04,484 -描述：10003
 记录时间：2015-08-11 22:24:04,705 -描述：00033
 记录时间：2015-08-11 22:24:05,747 -描述：00001
 记录时间：2015-08-11 22:24:06,605 -描述：00107
 记录时间：2015-08-11 22:24:09,573 -描述：00072
 记录时间：2015-08-11 22:24:12,087 -描述：00076
 记录时间：2015-08-11 22:24:17,286 -描述：00001
 记录时间：2015-08-11 22:24:18,337 -描述：00001
 记录时间：2015-08-11 22:24:20,315 -描述：00108
 记录时间：2015-08-11 22:24:20,485 -描述：00067
 记录时间：2015-08-11 22:24:21,383 -描述：00001
 记录时间：2015-08-11 22:24:21,986 -描述：00001
 记录时间：2015-08-11 22:24:23,069 -描述：00107
 记录时间：2015-08-11 22:24:24,370 -描述：00107
 记录时间：2015-08-11 22:24:25,515 -描述：00076
 记录时间：2015-08-11 22:24:26,722 -描述：00107
 记录时间：2015-08-11 22:24:27,846 -描述：00107
 记录时间：2015-08-11 22:24:29,235 -描述：00076
 记录时间：2015-08-11 22:24:29,803 -描述：00065
 记录时间：2015-08-11 22:24:30,848 -描述：00065
 记录时间：2015-08-11 22:24:31,024 -描述：00071
 记录时间：2015-08-11 22:24:34,274 -描述：00001
 记录时间：2015-08-11 22:24:34,961 -描述：00108
 记录时间：2015-08-11 22:24:35,156 -描述：00067
 记录时间：2015-08-11 22:24:38,109 -描述：10003
 记录时间：2015-08-11 22:24:38,308 -描述：00033
 记录时间：2015-08-11 22:24:39,507 -描述：00107
 记录时间：2015-08-11 22:24:41,265 -描述：00108
 记录时间：2015-08-11 22:24:41,465 -描述：00067
 记录时间：2015-08-11 22:24:43,953 -描述：10003
 记录时间：2015-08-11 22:24:44,155 -描述：00033
 记录时间：2015-08-11 22:24:45,299 -描述：00107
 记录时间：2015-08-11 22:24:47,982 -描述：00076
 记录时间：2015-08-11 22:24:52,740 -描述：00001
 记录时间：2015-08-11 22:24:53,391 -描述：00108
 记录时间：2015-08-11 22:24:53,584 -描述：00067
 记录时间：2015-08-11 22:24:55,243 -描述：10003
 记录时间：2015-08-11 22:24:55,448 -描述：00033
 记录时间：2015-08-11 22:24:56,550 -描述：00001
 记录时间：2015-08-11 22:24:57,177 -描述：00107
 记录时间：2015-08-11 22:25:08,822 -描述：00108
 记录时间：2015-08-11 22:25:09,017 -描述：00067
 记录时间：2015-08-11 22:25:09,816 -描述：00076
 记录时间：2015-08-11 22:25:10,756 -描述：00072
 记录时间：2015-08-11 23:12:22,824 -描述：00001
 记录时间：2015-08-11 23:12:25,773 -描述：00001
 记录时间：2015-08-11 23:12:29,984 -描述：00001
 记录时间：2015-08-11 23:12:37,973 -描述：00065
 记录时间：2015-08-11 23:12:39,777 -描述：00065
 记录时间：2015-08-11 23:12:43,152 -描述：00065
 记录时间：2015-08-11 23:12:43,283 -描述：00071
 记录时间：2015-08-11 23:12:44,487 -描述：10003
 记录时间：2015-08-11 23:16:11,510 -描述：00033
 记录时间：2015-08-11 23:16:17,898 -描述：00107
 记录时间：2015-08-11 23:19:53,672 -描述：00035
 记录时间：2015-08-11 23:19:53,684 -描述：00150
 记录时间：2015-08-11 23:19:53,687 -描述：00108
 记录时间：2015-08-11 23:19:53,689 -描述：00067
 记录时间：2015-08-11 23:19:53,691 -描述：00107
 记录时间：2015-08-11 23:19:53,713 -描述：00064
 记录时间：2015-08-11 23:21:25,640 -描述：00001
 记录时间：2015-08-11 23:21:27,476 -描述：00065
 记录时间：2015-08-11 23:21:29,826 -描述：00065
 记录时间：2015-08-11 23:21:30,020 -描述：00071
 记录时间：2015-08-11 23:21:30,926 -描述：10003
 记录时间：2015-08-11 23:21:31,127 -描述：00033
 记录时间：2015-08-11 23:21:35,246 -描述：00072
 记录时间：2015-08-11 23:21:35,826 -描述：00001
 记录时间：2015-08-11 23:21:37,263 -描述：00001
 记录时间：2015-08-11 23:21:37,663 -描述：00001
 记录时间：2015-08-11 23:21:38,467 -描述：00001
 记录时间：2015-08-11 23:21:42,036 -描述：00001
 记录时间：2015-08-11 23:21:43,083 -描述：00001
 记录时间：2015-08-11 23:21:44,163 -描述：00001
 记录时间：2015-08-11 23:21:45,147 -描述：00001
 记录时间：2015-08-11 23:21:49,975 -描述：00001
 记录时间：2015-08-11 23:21:51,254 -描述：00001
 记录时间：2015-08-11 23:21:52,486 -描述：00001
 记录时间：2015-08-11 23:21:53,500 -描述：00001
 记录时间：2015-08-11 23:21:54,064 -描述：00150
 记录时间：2015-08-11 23:21:55,102 -描述：00065
 记录时间：2015-08-11 23:21:55,820 -描述：00065
 记录时间：2015-08-11 23:21:56,021 -描述：00071
 记录时间：2015-08-11 23:21:59,614 -描述：10003
 记录时间：2015-08-11 23:21:59,815 -描述：00033
 记录时间：2015-08-11 23:22:11,886 -描述：00107
 记录时间：2015-08-11 23:22:12,005 -描述：00064
 记录时间：2015-08-11 23:22:45,064 -描述：00001
 记录时间：2015-08-11 23:22:46,429 -描述：00001
 记录时间：2015-08-11 23:22:47,704 -描述：00001
 记录时间：2015-08-11 23:22:48,523 -描述：00001
 记录时间：2015-08-11 23:22:49,434 -描述：00001
 记录时间：2015-08-11 23:22:51,168 -描述：00001
 记录时间：2015-08-11 23:22:54,985 -描述：00108
 记录时间：2015-08-11 23:22:55,209 -描述：00067
 记录时间：2015-08-11 23:22:55,209 -描述：00108
 记录时间：2015-08-11 23:22:57,485 -描述：00001
 记录时间：2015-08-11 23:22:58,870 -描述：00001
 记录时间：2015-08-11 23:23:00,181 -描述：00001
 记录时间：2015-08-11 23:23:02,413 -描述：00001
 记录时间：2015-08-11 23:23:03,524 -描述：00001
 记录时间：2015-08-11 23:23:04,332 -描述：00001
 记录时间：2015-08-11 23:23:05,293 -描述：00001
